Occupation,Smartphone-internet,TV,Four-wheeler,Tier,Source
"Trade / retail (large, Marwari/Gujarati)",92,98,45,C,Business community — very high
Trade / retail (small/petty vendor),70,92,5,C,
Govt services / teachers,88,97,18,C,Bhadralok service class
Private services (banking/IT),90,97,22,C,Urban professional
Professionals (doctor/lawyer),93,98,55,C,
Transport,65,88,5,C,Auto/taxi drivers
Manufacturing,60,88,8,C,
Construction labour,40,75,0,C,In-migrant construction workers
Domestic workers,38,60,0,C,Lowest stratum
Student (18–22),88,95,12,C,Urban youth: very high smartphone
