Caste sub-group,% of Hindu,Tier,Source
SC: Bagdi,10.9,C,9.5% of total / 86.78% Hindu ≈ 10.9% of Hindu
SC: Bauri,5.2,E,4.5% / 86.78%
SC: Namasudra,4.0,E,3.5% / 86.78%
"SC: Other (Hari, Chamar, Jalia, Rajbanshi)",8.5,E,Residual SC
ST: Santal,6.3,E,5.5% / 86.78%
ST: Other,2.1,E,1.8% / 86.78%
UC bhadralok (Brahmin/Kayastha/Baidya),9.2,D,8.0% / 86.78%
OBC: Mahishya,20.7,D,18.0% / 86.78%; dominant cultivating caste
OBC: Sadgop,6.9,D,6.0% / 86.78%
OBC: Kurmi,4.0,D,3.5% / 86.78%
OBC: Tili / other OBC,2.9,D,2.5% / 86.78%
"Other Hindu middle (Goala, Tanti, Sutradhar, unclassified)",19.4,E,15.9% + residual → 19.4% of Hindu
